image_idx,trial,target_label,target_location,fixations_count,found,sloc_fixation_index
1,1,horse,"(191, 157)",5,True,4
2,2,sheep,"(112, 203)",3,True,1
3,3,cat,"(191, 157)",5,True,3
4,4,teddybear,"(33, 157)",1,True,-2
5,5,kite,"(191, 67)",2,True,1
6,6,cattle,"(112, 21)",6,True,1
7,7,horse,"(33, 67)",3,True,1
8,8,sheep,"(33, 157)",2,True,-2
9,9,cat,"(191, 67)",6,True,1
10,10,teddybear,"(112, 21)",2,True,1
11,11,kite,"(33, 157)",3,True,1
12,12,cattle,"(112, 203)",5,True,4
13,13,horse,"(191, 67)",2,True,1
14,14,sheep,"(33, 67)",3,True,-2
15,15,cat,"(112, 203)",2,True,-2
16,16,teddybear,"(191, 157)",3,True,-2
17,17,kite,"(33, 67)",5,True,1
18,18,cattle,"(112, 21)",2,True,-2
19,19,horse,"(191, 157)",6,True,4
20,20,sheep,"(191, 67)",6,True,1
21,21,cat,"(33, 157)",2,True,1
22,22,teddybear,"(33, 67)",2,True,-2
23,23,kite,"(33, 67)",1,True,-2
24,24,cattle,"(33, 157)",5,True,2
25,25,horse,"(112, 203)",6,True,1
26,26,sheep,"(33, 67)",5,True,2
27,27,cat,"(33, 67)",2,True,-2
28,28,teddybear,"(112, 203)",3,True,1
29,29,kite,"(112, 21)",1,True,-2
30,30,cattle,"(191, 157)",5,True,1
31,31,horse,"(33, 157)",5,True,1
32,32,sheep,"(112, 21)",5,True,1
33,33,cat,"(33, 157)",3,True,-2
34,34,teddybear,"(112, 21)",2,True,-2
35,35,kite,"(191, 157)",2,True,-2
36,36,cattle,"(33, 157)",2,True,1
37,37,horse,"(191, 157)",3,True,1
38,38,sheep,"(33, 157)",3,True,1
39,39,cat,"(112, 21)",2,True,-2
40,40,teddybear,"(191, 157)",2,True,-2
41,41,kite,"(33, 157)",4,True,1
42,42,cattle,"(33, 157)",3,True,1
43,43,horse,"(33, 157)",6,True,1
44,44,sheep,"(191, 67)",5,True,-2
45,45,cat,"(112, 21)",4,True,1
46,46,teddybear,"(191, 157)",3,True,1
47,47,kite,"(191, 67)",6,True,3
48,48,cattle,"(191, 67)",6,True,1
49,49,horse,"(112, 203)",2,True,1
50,50,sheep,"(112, 203)",3,True,1
51,51,cat,"(33, 67)",3,True,2
52,52,teddybear,"(112, 203)",1,True,-2
53,53,kite,"(112, 21)",2,True,1
54,54,cattle,"(112, 203)",5,True,1
55,55,horse,"(112, 21)",5,True,1
56,56,sheep,"(112, 21)",3,True,1
57,57,cat,"(112, 203)",6,True,2
58,58,teddybear,"(112, 21)",3,True,1
59,59,kite,"(191, 157)",3,True,-2
60,60,cattle,"(191, 157)",5,True,3
61,61,horse,"(33, 67)",1,True,-2
62,62,sheep,"(112, 203)",5,True,2
63,63,cat,"(191, 67)",3,True,1
64,64,teddybear,"(191, 67)",3,True,1
65,65,kite,"(112, 21)",3,True,1
66,66,cattle,"(112, 21)",3,True,1
67,67,horse,"(112, 203)",4,True,2
68,68,sheep,"(191, 67)",2,True,-2
69,69,cat,"(33, 67)",4,True,1
70,70,teddybear,"(191, 157)",1,True,-2
71,71,kite,"(33, 157)",4,True,1
72,72,cattle,"(112, 21)",4,True,2
73,73,horse,"(33, 67)",3,True,1
74,74,sheep,"(112, 21)",4,True,1
75,75,cat,"(112, 21)",6,True,2
76,76,teddybear,"(112, 203)",5,True,2
77,77,kite,"(33, 157)",5,True,1
78,78,cattle,"(33, 157)",3,True,1
79,79,horse,"(112, 21)",5,True,1
80,80,sheep,"(33, 67)",3,True,1
81,81,cat,"(33, 157)",3,True,-2
82,82,teddybear,"(112, 203)",1,True,-2
83,83,kite,"(33, 157)",6,True,1
84,84,cattle,"(33, 157)",2,True,-2
85,85,horse,"(112, 21)",3,True,2
86,86,sheep,"(33, 67)",2,True,1
87,87,cat,"(191, 157)",2,True,1
88,88,teddybear,"(33, 67)",4,True,-2
89,89,kite,"(191, 157)",2,True,1
90,90,cattle,"(112, 21)",4,True,1
91,91,horse,"(112, 21)",5,True,2
92,92,sheep,"(191, 67)",2,True,-2
93,93,cat,"(33, 67)",5,True,1
94,94,teddybear,"(191, 157)",3,True,2
95,95,kite,"(33, 67)",3,True,1
96,96,cattle,"(112, 21)",4,True,1
97,97,horse,"(112, 21)",1,True,-2
98,98,sheep,"(112, 203)",3,True,-2
99,99,cat,"(112, 21)",4,True,1
100,100,teddybear,"(191, 157)",2,True,-2
101,101,sheep,"(33, 67)",1,True,1
102,102,teddybear,"(33, 67)",2,True,2
103,103,cat,"(191, 67)",1,True,1
104,104,cattle,"(191, 157)",1,True,1
105,105,horse,"(112, 21)",1,True,1
106,106,kite,"(33, 157)",1,True,1
107,107,sheep,"(33, 67)",6,True,6
108,108,teddybear,"(33, 157)",1,True,1
109,109,cat,"(112, 203)",6,True,6
110,110,cattle,"(33, 67)",1,True,1
111,111,horse,"(33, 67)",1,True,1
112,112,kite,"(33, 67)",1,True,1
113,113,sheep,"(112, 21)",1,True,1
114,114,teddybear,"(33, 157)",1,True,1
115,115,cat,"(112, 203)",1,True,1
116,116,cattle,"(191, 157)",2,True,2
117,117,horse,"(33, 67)",5,True,5
118,118,kite,"(112, 203)",6,True,6
119,119,sheep,"(112, 203)",1,True,1
120,120,teddybear,"(112, 203)",1,True,1
121,121,cat,"(112, 21)",1,True,1
122,122,cattle,"(33, 157)",1,True,1
123,123,horse,"(33, 157)",1,True,1
124,124,kite,"(33, 67)",1,True,1
125,125,sheep,"(33, 157)",1,True,1
126,126,teddybear,"(33, 157)",3,True,3
127,127,cat,"(112, 21)",3,True,3
128,128,cattle,"(112, 21)",1,True,1
129,129,horse,"(191, 157)",1,True,1
130,130,kite,"(33, 157)",2,True,2
131,131,sheep,"(33, 67)",1,True,1
132,132,teddybear,"(112, 203)",2,True,2
133,133,cat,"(33, 157)",1,True,1
134,134,cattle,"(112, 203)",1,True,1
135,135,horse,"(112, 21)",1,True,1
136,136,kite,"(191, 67)",1,True,1
137,137,sheep,"(33, 157)",1,True,1
138,138,teddybear,"(112, 203)",1,True,1
139,139,cat,"(33, 157)",1,True,1
140,140,cattle,"(33, 67)",2,True,2
141,141,horse,"(33, 157)",1,True,1
142,142,kite,"(191, 157)",1,True,1
143,143,sheep,"(112, 21)",1,True,1
144,144,teddybear,"(33, 67)",1,True,1
145,145,cat,"(33, 157)",1,True,1
146,146,cattle,"(191, 67)",1,True,1
147,147,horse,"(191, 67)",2,True,2
148,148,kite,"(33, 67)",1,True,1
149,149,sheep,"(33, 157)",2,True,2
150,150,teddybear,"(33, 157)",1,True,1
151,151,cat,"(33, 67)",2,True,2
152,152,cattle,"(191, 67)",2,True,2
153,153,horse,"(112, 203)",3,True,3
154,154,kite,"(112, 21)",1,True,1
155,155,sheep,"(191, 67)",1,True,1
156,156,teddybear,"(112, 203)",1,True,1
157,157,cat,"(33, 67)",2,True,2
158,158,cattle,"(33, 67)",6,True,6
159,159,horse,"(191, 157)",3,True,3
160,160,kite,"(191, 67)",2,True,2
161,161,sheep,"(112, 21)",1,True,1
162,162,teddybear,"(191, 157)",2,True,2
163,163,cat,"(191, 157)",5,True,5
164,164,cattle,"(191, 157)",6,True,6
165,165,horse,"(191, 67)",1,True,1
166,166,kite,"(112, 203)",4,True,4
167,167,sheep,"(191, 157)",2,True,2
168,168,teddybear,"(33, 67)",1,True,1
169,169,cat,"(112, 203)",2,True,2
170,170,cattle,"(191, 157)",1,True,1
171,171,horse,"(191, 157)",1,True,1
172,172,kite,"(191, 67)",1,True,1
173,173,sheep,"(112, 203)",1,True,1
174,174,teddybear,"(191, 67)",1,True,1
175,175,cat,"(191, 67)",1,True,1
176,176,cattle,"(112, 21)",1,True,1
177,177,horse,"(33, 67)",2,True,2
178,178,kite,"(191, 157)",1,True,1
179,179,sheep,"(191, 67)",1,True,1
180,180,teddybear,"(112, 203)",1,True,1
181,181,cat,"(112, 203)",1,True,1
182,182,cattle,"(112, 21)",1,True,1
183,183,horse,"(112, 21)",1,True,1
184,184,kite,"(191, 157)",5,True,5
185,185,sheep,"(112, 203)",1,True,1
186,186,teddybear,"(33, 67)",2,True,2
187,187,cat,"(33, 157)",1,True,1
188,188,cattle,"(191, 157)",1,True,1
189,189,horse,"(112, 21)",2,True,2
190,190,kite,"(112, 21)",4,True,4
191,191,sheep,"(112, 21)",1,True,1
192,192,teddybear,"(191, 157)",6,True,6
193,193,cat,"(191, 157)",1,True,1
194,194,cattle,"(191, 157)",1,True,1
195,195,horse,"(112, 203)",1,True,1
196,196,kite,"(112, 21)",1,True,1
197,197,sheep,"(191, 67)",6,True,6
198,198,teddybear,"(33, 157)",5,True,5
199,199,cat,"(112, 203)",1,True,1
200,200,cattle,"(191, 157)",1,True,1
201,201,sheep,"(112, 203)",3,True,-1
202,202,teddybear,"(112, 21)",5,True,-1
203,203,cat,"(112, 21)",6,True,-1
204,204,cattle,"(191, 67)",6,True,-1
205,205,horse,"(191, 157)",6,True,-1
206,206,kite,"(112, 21)",3,True,-1
207,207,sheep,"(33, 157)",1,True,-1
208,208,teddybear,"(191, 67)",1,True,-1
209,209,cat,"(191, 157)",4,True,-1
210,210,cattle,"(33, 157)",4,True,-1
211,211,horse,"(191, 157)",5,True,-1
212,212,kite,"(33, 67)",2,True,-1
213,213,sheep,"(33, 67)",1,True,-1
214,214,teddybear,"(191, 67)",5,True,-1
215,215,cat,"(191, 67)",5,True,-1
216,216,cattle,"(191, 67)",5,True,-1
217,217,horse,"(112, 21)",5,True,-1
218,218,kite,"(191, 157)",1,True,-1
219,219,sheep,"(112, 21)",1,True,-1
220,220,teddybear,"(112, 21)",6,True,-1
221,221,cat,"(112, 21)",5,True,-1
222,222,cattle,"(112, 21)",2,True,-1
223,223,horse,"(112, 203)",2,True,-1
224,224,kite,"(112, 21)",4,True,-1
225,225,sheep,"(33, 157)",1,True,-1
226,226,teddybear,"(112, 203)",3,True,-1
227,227,cat,"(112, 21)",3,True,-1
228,228,cattle,"(33, 157)",6,True,-1
229,229,horse,"(112, 203)",3,True,-1
230,230,kite,"(112, 203)",1,True,-1
231,231,sheep,"(191, 67)",1,True,-1
232,232,teddybear,"(33, 157)",1,True,-1
233,233,cat,"(191, 67)",3,True,-1
234,234,cattle,"(191, 157)",4,True,-1
235,235,horse,"(191, 67)",5,True,-1
236,236,kite,"(33, 67)",5,True,-1
237,237,sheep,"(191, 157)",5,True,-1
238,238,teddybear,"(33, 157)",1,True,-1
239,239,cat,"(191, 157)",5,True,-1
240,240,cattle,"(33, 67)",2,True,-1
241,241,horse,"(191, 157)",2,True,-1
242,242,kite,"(33, 157)",1,True,-1
243,243,sheep,"(191, 67)",1,True,-1
244,244,teddybear,"(33, 157)",1,True,-1
245,245,cat,"(33, 157)",4,True,-1
246,246,cattle,"(33, 67)",6,True,-1
247,247,horse,"(112, 21)",6,True,-1
248,248,kite,"(33, 67)",3,True,-1
249,249,sheep,"(191, 157)",4,True,-1
250,250,teddybear,"(33, 67)",3,True,-1
251,251,cat,"(33, 67)",1,True,-1
252,252,cattle,"(112, 203)",4,True,-1
253,253,horse,"(33, 67)",6,True,-1
254,254,kite,"(191, 67)",1,True,-1
255,255,sheep,"(191, 67)",4,True,-1
256,256,teddybear,"(33, 157)",1,True,-1
257,257,cat,"(191, 157)",6,True,-1
258,258,cattle,"(33, 67)",6,True,-1
259,259,horse,"(191, 157)",4,True,-1
260,260,kite,"(191, 157)",5,True,-1
261,261,sheep,"(191, 67)",6,True,-1
262,262,teddybear,"(112, 203)",1,True,-1
263,263,cat,"(33, 157)",3,True,-1
264,264,cattle,"(33, 67)",4,True,-1
265,265,horse,"(191, 157)",3,True,-1
266,266,kite,"(191, 157)",4,True,-1
267,267,sheep,"(33, 67)",1,True,-1
268,268,teddybear,"(112, 203)",4,True,-1
269,269,cat,"(33, 157)",5,True,-1
270,270,cattle,"(191, 67)",1,True,-1
271,271,horse,"(191, 67)",4,True,-1
272,272,kite,"(191, 157)",1,True,-1
273,273,sheep,"(191, 67)",3,True,-1
274,274,teddybear,"(191, 67)",4,True,-1
275,275,cat,"(112, 203)",1,True,-1
276,276,cattle,"(191, 157)",1,True,-1
277,277,horse,"(33, 67)",4,True,-1
278,278,kite,"(191, 157)",4,True,-1
279,279,sheep,"(191, 157)",2,True,-1
280,280,teddybear,"(191, 67)",4,True,-1
281,281,cat,"(112, 203)",6,True,-1
282,282,cattle,"(191, 157)",1,True,-1
283,283,horse,"(112, 21)",4,True,-1
284,284,kite,"(191, 67)",6,True,-1
285,285,sheep,"(112, 21)",4,True,-1
286,286,teddybear,"(33, 157)",1,True,-1
287,287,cat,"(33, 67)",6,True,-1
288,288,cattle,"(191, 157)",3,True,-1
289,289,horse,"(191, 67)",5,True,-1
290,290,kite,"(191, 67)",4,True,-1
291,291,sheep,"(191, 67)",1,True,-1
292,292,teddybear,"(191, 67)",1,True,-1
293,293,cat,"(33, 67)",4,True,-1
294,294,cattle,"(33, 157)",4,True,-1
295,295,horse,"(112, 21)",5,True,-1
296,296,kite,"(33, 157)",2,True,-1
297,297,sheep,"(191, 67)",4,True,-1
298,298,teddybear,"(112, 203)",1,True,-1
299,299,cat,"(33, 67)",1,True,-1
300,300,cattle,"(112, 203)",3,True,-1
